LABEL,ID,Track ID,QUALITY,X,Y,Z,T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5122,5122,1,11.83254242,13.53073077,22.40093212,0.643715747,0,0,1,1,,4.804434338,1,0,58,8451,9.652515791,0.634858637,0.38657037
ID5043,5043,1,11.56494999,13.57287597,22.4917048,0.677013275,1,1,1,1,,4.465036953,1,0,56,7854,8.987147939,0.580793959,0.365073227
ID4738,4738,1,10.96211243,13.53782732,22.5681005,0.741954328,2,2,1,1,,4.324047754,0,0,55,7606,8.748063097,0.612258839,0.37541262
ID5190,5190,1,10.38834476,13.58355145,22.59625404,0.736334708,3,3,1,1,,4.143263218,0,0,46,7288,7.952929558,0.621167399,0.399232765
ID4896,4896,1,10.36237812,13.87642247,22.54724658,0.659784985,4,4,1,1,,3.955088118,0,0,60,6957,8.859074006,0.530678712,0.309560439
ID4964,4964,1,13.3931942,14.24147642,21.91610163,0.299280834,5,5,1,1,,6.408754974,1,0,57,11273,10.28786757,0.742390609,0.530841963
ID5265,5265,1,11.87229633,14.44370033,21.91054146,0.481324128,6,6,1,1,,5.913587265,1,0,52,10402,9.551991295,0.691186995,0.506047187
ID4815,4815,1,11.53000641,14.61529158,21.88968738,0.387924807,7,7,1,1,,5.757816941,1,0,50,10128,8.767728019,0.674225909,0.528922642
ID5493,5493,1,11.4686842,14.59188378,21.83428369,0.397801266,8,8,1,1,,5.674246731,1,0,50,9981,8.922378691,0.689627137,0.519135856
ID5798,5798,1,11.47293377,14.63824682,21.84250703,0.597960941,9,9,1,1,,4.791358727,1,0,49,8428,8.551471297,0.622704194,0.430021602
ID5652,5652,1,11.48960495,14.65926749,21.94087534,0.680972736,10,10,1,1,,4.202956225,0,0,49,7393,8.43116222,0.590518925,0.37016248
ID5877,5877,1,11.44882679,14.83338733,22.0065362,0.701241897,11,11,1,1,,4.139283684,1,0,54,7281,8.351318777,0.571580697,0.360529656
ID5422,5422,1,10.00530243,15.0274386,21.8512199,0.657601349,12,12,1,1,,3.629903354,0,0,54,6385,7.958226655,0.526032225,0.3144542
ID5576,5576,1,10.82620049,15.06411557,21.75942018,0.54946047,13,13,1,1,,4.242751563,0,0,54,7463,8.714578722,0.559884094,0.349491808
ID5344,5344,1,10.90781403,15.11297866,21.8398058,0.490869164,14,14,1,1,,4.913587265,1,0,54,8643,9.14828124,0.637689678,0.418279844
ID5733,5733,1,10.57923412,14.96710683,21.72000629,0.53078302,15,15,1,1,,4.096077317,0,0,45,7205,8.066869383,0.592286073,0.377749189
ID6316,6316,1,11.091115,15.22240696,21.48039265,0.566676603,16,16,1,1,,4.090392268,1,0,55,7195,8.683102064,0.634567695,0.365759063
ID5951,5951,1,10.46537495,15.12629938,21.29361298,0.518776035,17,17,1,1,,3.958499147,1,0,53,6963,8.157716199,0.636374983,0.377417667
ID6096,6096,1,10.85758495,15.28801918,21.36415853,0.630473135,18,18,1,1,,3.944286526,0,0,57,6938,8.710373952,0.628056964,0.349374409
ID6466,6466,1,9.841765404,15.08915678,21.27565937,0.720078097,19,19,1,1,,3.329164298,0,0,50,5856,7.411227142,0.59228321,0.334182887
ID6031,6031,1,9.791407585,15.09316326,21.23200776,0.723539405,20,20,1,1,,3.267765776,0,0,48,5748,7.46508301,0.606529974,0.330529106
ID6180,6180,1,10.64487171,15.10773934,21.09749674,0.744839534,21,21,1,1,,3.444002274,0,0,53,6058,8.085093315,0.642834994,0.333360358
ID6255,6255,1,10.05007362,15.25911262,20.93389342,0.688935906,22,22,1,1,,3.180216032,0,0,50,5594,7.61942728,0.662279409,0.332584126
ID6395,6395,1,9.676388741,15.30086587,20.83275185,0.575794963,23,23,1,1,,3.6117112,0,0,47,6353,7.843455521,0.711835559,0.382959819
ID6537,6537,1,11.66676807,15.56988526,20.70378817,0.274969974,24,24,1,1,,5.232518476,1,0,52,9204,8.902898633,0.86565815,0.545410746
