Label,Spot ID,Track ID,Quality,X,Y,Z,Tframe,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
ID17343,17343,1,73.38162994,26.93994606,20.0808708,2.055889872,2,6.4,2,1,1,,83.54462763,64,0,255,146955,74.33671911,0.078649991,0.163894081
ID17175,17175,1,102.3321762,27.76402646,19.99165815,2.211028227,3,9.6,3,1,1,,109.5463331,83,0,255,192692,87.70360668,0.242037323,0.48680842
ID17473,17473,1,116.5325165,27.08791726,21.82278636,1.654534982,4,12.8,4,1,1,,107.7140421,86,0,255,189469,88.26195357,0.152123167,0.322273971
ID17021,17021,1,109.6333008,27.15469192,21.8544616,1.615671142,5,16,5,1,1,,109.3996589,82,0,255,192434,87.48866346,0.150818363,0.327749185
ID17409,17409,1,114.0943604,26.97,21.75,1.595,6,19.2,6,1,1,,113.5605458,82,0,255,199753,92.15361397,0.204764816,0.418888227
ID16950,16950,1,118.3724365,27.12598727,21.85835011,1.598571148,7,22.4,7,1,1,,103.1046049,64,0,255,181361,90.91585188,0.162700847,0.31738783
ID17831,17831,1,118.7670898,27.15281208,21.73310767,1.615812292,8,25.6,8,1,1,,105.9880614,71,0,255,186433,88.59385268,0.193538533,0.387984482
ID17620,17620,1,108.7168808,27.32261733,21.77844306,1.705954159,10,32,10,1,1,,98.47640705,60,0,255,173220,85.53293005,0.148718935,0.298113283
ID17549,17549,1,119.8284073,27.39938795,21.58475218,1.717602821,11,35.2,11,1,1,,103.0653781,67,0,255,181292,86.19094566,0.169664626,0.346905432
ID17969,17969,1,128.1307373,27.34463865,21.52288423,1.714535646,12,38.4,12,1,1,,112.9175668,77,0,255,198622,85.92585186,0.212386394,0.460419065
ID18035,18035,1,119.6697998,27.24448943,21.53048979,1.66714422,13,41.6,13,1,1,,108.9476976,73,0,255,191639,87.90060315,0.195264393,0.404962931
ID17756,17756,1,128.9105072,27.42272238,21.65073299,1.665887504,14,44.8,14,1,1,,110.4229676,76,0,255,194234,88.81295717,0.197218718,0.409626187
ID17899,17899,1,131.1794434,27.35415604,21.60428739,1.663141995,15,48,15,1,1,,113.9704377,80,0,255,200474,88.20555442,0.21944284,0.465035648
ID18104,18104,1,121.711998,27.30767559,21.63660503,1.738310972,16,51.2,16,1,1,,108.3814667,76,0,255,190643,85.74318427,0.186920113,0.398125465
ID18495,18495,1,119.6209259,27.30957261,21.65837781,1.712280359,17,54.4,17,1,1,,107.7987493,70,0,255,189618,88.50068535,0.173974806,0.361014518
ID18170,18170,1,114.5273972,27.26907155,21.54596612,1.724115636,18,57.6,18,1,1,,103.3081296,68,0,255,181719,85.79710235,0.158451091,0.329389237
ID18557,18557,1,117.9111481,27.17160286,21.52374162,1.772907666,19,60.8,19,1,1,,103.8749289,67,0,255,182716,86.66197092,0.174097853,0.355468643
ID18232,18232,1,111.8481445,27.35128002,21.5927319,1.781469531,20,64,20,1,1,,102.3627061,64,0,255,180056,86.13064063,0.146969158,0.304570996
ID18365,18365,1,116.5984497,27.47140179,21.66628323,1.764010259,21,67.2,21,1,1,,100.9175668,63,0,255,177514,87.11204274,0.149595076,0.301502538
ID18296,18296,1,131.4233246,27.59480227,21.67869328,1.786313751,22,70.4,22,1,1,,112.2239909,76,0,255,197402,88.32498216,0.207645497,0.436933353
ID18430,18430,1,131.5858765,27.47189067,21.62522061,1.761750339,23,73.6,23,1,1,,109.4786811,70,0,255,192573,89.84220445,0.207762943,0.41924273
ID18747,18747,1,113.6004181,27.37972479,21.65587107,1.69663986,24,76.8,24,1,1,,105.4081865,71,0,255,185413,87.72072411,0.178941892,0.364772218
ID18875,18875,1,117.2384491,27.27820746,21.74624729,1.713310945,25,80,25,1,1,,108.7686185,71,0,255,191324,89.90858974,0.203167322,0.408564145
ID19067,19067,1,115.9656601,27.27869238,21.6751316,1.698666058,26,83.2,26,1,1,,111.0613985,74,0,255,195357,89.03110553,0.221911976,0.453098044
ID18678,18678,1,115.3679733,27.13850925,21.75138448,1.660997197,27,86.4,27,1,1,,110.7885162,69,0,255,194877,93.20975687,0.240326044,0.460604675
ID18808,18808,1,122.3860245,27.11919868,21.83930927,1.681041179,28,89.6,28,1,1,,114.2035247,77,0,255,200884,90.60350412,0.246547819,0.498605117
ID19003,19003,1,125.7676315,27.03042767,21.92362519,1.698618623,29,92.8,29,1,1,,117.6702672,76,0,255,206982,91.62396178,0.276685383,0.556659979
ID18612,18612,1,126.1632843,26.51326109,21.6471823,1.483444787,30,96,30,1,1,,112.5054008,76,0,255,197897,91.76071822,0.242496361,0.478582334
ID18936,18936,1,117.1355209,26.59211519,21.75028106,1.554016752,31,99.2,31,1,1,,114.054008,73,0,255,200621,90.34344113,0.249800659,0.50465752
ID19121,19121,1,119.0363007,26.58113,21.67220851,1.490496342,32,102.4,32,1,1,,108.468448,67,0,255,190796,89.50842239,0.223735664,0.443115681
ID19251,19251,1,129.4338989,26.6504989,21.891241,1.562694927,33,105.6,33,1,1,,116.0096646,77,0,255,204061,91.97806298,0.265919167,0.529887377
ID19191,19191,1,127.0653152,26.66340089,21.95134669,1.55597489,34,108.8,34,1,1,,117.2131893,78,0,255,206178,93.29944042,0.270684775,0.535246015
ID19566,19566,1,133.1258698,26.73617685,22.26157254,1.655687904,35,112,35,1,1,,116.1102899,77,0,255,204238,95.79107374,0.282260844,0.533641897
ID19441,19441,1,143.9478912,26.65158592,22.23965677,1.644896447,36,115.2,36,1,1,,122.2797044,88,0,255,215090,97.28618627,0.29934027,0.579129176
ID19504,19504,1,132.0632477,26.62059088,22.10684165,1.632287488,37,118.4,37,1,1,,116.5179079,77,0,255,204955,97.25904325,0.260199273,0.494720076
ID19311,19311,1,126.1411514,26.63761963,22.0715679,1.605804649,38,121.6,38,1,1,,110.3382604,71,0,255,194085,97.66147835,0.237709088,0.433970331
ID19375,19375,1,127.5695572,26.66489777,21.90815556,1.532119262,39,124.8,39,1,1,,109.8192155,69,0,255,193172,96.23918024,0.2304988,0.427507652
ID20011,20011,1,112.9968338,26.66923266,21.82815894,1.506168476,40,128,40,1,1,,102.9533826,56,0,255,181095,98.25701183,0.171167001,0.306272693
ID19681,19681,1,109.5413055,26.69283602,21.74148963,1.474420682,41,131.2,41,1,1,,101.2393405,56,0,255,178080,96.2290068,0.156551538,0.284816829
ID20079,20079,1,109.7217331,26.69373725,21.71880866,1.449407309,42,134.4,42,1,1,,103.76805,63,0,255,182528,94.1375599,0.160254277,0.304499907
ID19946,19946,1,101.5232391,26.65690269,21.5637354,1.433536204,43,137.6,43,1,1,,106.115975,69,0,255,186658,94.16406766,0.146303912,0.287661485
ID19817,19817,1,158.6807709,28.5910723,21.97282939,1.771699508,44,140.8,44,1,1,,143.4212621,144,0,255,252278,90.67540417,0.319305158,0.765622538
ID19884,19884,1,154.4024048,28.73368367,21.94454627,1.793610239,45,144,45,1,1,,142.9226833,141,0,255,251401,88.91661637,0.321434011,0.781978074
ID19625,19625,1,173.4836273,28.72700079,21.97681535,1.754161751,46,147.2,46,1,1,,143.6065947,143,0,255,252604,90.14504733,0.346468667,0.81984211
ID19755,19755,1,180.1508179,28.72181846,21.9564021,1.766940528,47,150.4,47,1,1,,147.5599773,152,0,255,259558,89.65446063,0.375101133,0.897925715
ID20282,20282,1,171.7106934,28.80263827,21.99075845,1.799700008,48,153.6,48,1,1,,153.2751563,155,0,255,269611,86.85496137,0.365875746,0.945430393
ID20621,20621,1,169.4777985,28.62749228,21.9466629,1.817096857,49,156.8,49,1,1,,150.8374076,152,0,255,265323,88.28973369,0.360996784,0.906306475
ID20348,20348,1,165.3167267,28.47407302,21.93440123,1.775594084,50,160,50,1,1,,151.5787379,158,0,255,266627,90.6403551,0.336392543,0.841897075
